ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
27,CHOCÓ,27425,MEDIO ATRATO,27425008,2024,5,2481,1112.0,19.15,6.04,6.033880098,-76.6734697
27,CHOCÓ,27491,NOVITA,27491004,2024,5,1863,620.0,11.99,6.51,4.853386627,-76.61823669
27,CHOCÓ,27495,NUQUÍ,27495001,2024,5,20705,7668.0,62.4,15.19,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495011,2024,5,876,372.0,5.16,7.45,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495912,2024,5,7439,1873.0,11.5,21.39,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495000,2024,5,306425,109467.0,556.51,23.57,5.591359844,-77.33057439
27,CHOCÓ,27001,QUIBDÓ,27001029,2024,5,0,0.0,0.0,0.0,5.7543229,-76.65015147
27,CHOCÓ,27615,RIOSUCIO,27615011,2024,5,328,112.0,4.28,3.05,7.389887937,-77.24067483
27,CHOCÓ,27800,UNGUÍA,27800005,2024,5,16923,4450.0,76.74,9.26,8.117281079,-77.10372723
27,CHOCÓ,27800,UNGUÍA,27800000,2024,5,484045,156408.0,987.36,22.18,8.117281079,-77.10372723
94,GUAINÍA,94343,BARRANCO MINAS,94343000,2024,5,76458,22812.0,239.27,14.3,3.140558454,-69.69713423
94,GUAINÍA,94001,INÍRIDA,94001000,2024,5,2265989,635769.0,4151.84,23.59,3.516363079,-68.00834728
44,LA GUAJIRA,44847,URIBIA,44847003,2024,5,37485,3837.0,148.84,10.2,11.99971986,-71.74882662
44,LA GUAJIRA,44847,URIBIA,44847012,2024,5,33425,7490.0,263.04,4.57,11.99971986,-71.74882662
47,MAGDALENA,47189,CIÉNAGA,47189018,2024,5,92841,32703.0,174.78,22.36,10.85754552,-74.02500493
50,META,50325,MAPIRIPAN,50325000,2024,5,182486,59588.0,356.4,23.59,3.117523361,-71.93805692
52,NARIÑO,52250,EL CHARCO,52250007,2024,5,14018,3736.0,56.0,10.26,2.216382295,-77.99533234
52,NARIÑO,52390,LA TOLA,52390005,2024,5,737,256.0,9.95,3.0,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390013,2024,5,6807,804.0,54.21,5.44,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390003,2024,5,4406,1896.0,22.68,9.2,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390009,2024,5,4050,2490.0,30.5,7.0,2.56027333,-78.23506694
